task_name,start_date,end_date,duration,category,dependencies
Búsqueda de información sobre tecnología necesaria,2024-01-01,2024-02-15,45,research,[]
Tecnología de sensores,2024-01-15,2024-03-05,50,sensors,[]
    Aplicación web,2024-02-01,2024-02-26,25,web,[]
    Servicios REST,2024-02-10,2024-03-01,20,api,[]
    Aplicación Android,2024-02-20,2024-03-21,30,mobile,[]
    Búsqueda de bibliografía,2024-03-01,2024-03-21,20,research,[]
    Búsqueda de bibliografía (cont.),2024-03-15,2024-03-30,15,research,[]
Desarrollo de los sensores (hardware),2024-04-01,2024-05-06,35,hardware,[]
Desarrollo de los sensores (hardware) - Fase 2,2024-04-20,2024-05-30,40,hardware,[]
Desarrollo software,2024-05-01,2024-07-20,80,software,[]
    Sensores,2024-05-10,2024-06-14,35,sensors,[]
    Diseño,2024-05-25,2024-06-19,25,design,[]
    Implementación,2024-06-10,2024-07-20,40,implementation,[]
Aplicación web,2024-07-01,2024-08-20,50,web,[]
    Diseño,2024-07-10,2024-07-30,20,design,[]
    Implementación,2024-07-25,2024-08-29,35,implementation,[]
    Implementación de servicios REST,2024-08-10,2024-09-04,25,api,[]
Aplicación Android,2024-09-01,2024-10-16,45,mobile,[]
    Diseño,2024-09-10,2024-09-25,15,design,[]
    Implementación,2024-09-20,2024-10-20,30,implementation,[]
Pruebas software,2024-10-15,2024-11-04,20,testing,[]
Corrección de posibles errores,2024-11-01,2024-11-16,15,testing,[]
Instalación de software,2024-11-10,2024-11-18,8,deployment,[]
Preparación del servidor,2024-11-15,2024-11-25,10,deployment,[]
Despliegue de aplicaciones,2024-11-20,2024-12-02,12,deployment,[]
Realización de la documentación,2024-12-01,2025-01-05,35,documentation,[]
    Memoria,2024-12-05,2024-12-30,25,documentation,[]
    Manuales,2024-12-20,2025-01-04,15,documentation,[]
